"Dim.1"	"Dim.2"	"Dim.3"	"Dim.4"	"Dim.5"
"ENSG00000000003"	1.60565205507099	0.487656875696795	-0.118320793922548	-0.323432540501382	0.535439113806228
"ENSG00000001630"	1.99293717204732	-0.673182780035691	-0.248793086356945	-0.246483467355553	-0.299030652603562
"ENSG00000003056"	1.43130123798096	0.0923312149116001	-0.14891140836068	0.237857769053041	-0.226129531370895
"ENSG00000003402"	1.39673220949042	0.20989334362443	-0.60658137687777	0.301338472255787	0.688840938717748
"ENSG00000003756"	0.934953143174496	-0.00020094405416393	0.587872331801987	0.41266223175719	0.160781126407036
"ENSG00000004455"	1.2145473913902	-0.150399741825432	0.105301235012992	-0.575855099421642	-0.275242074539001
"ENSG00000004534"	0.676311546007275	-0.0826470979776659	0.094201371879848	0.539600914903074	-0.0095553082858413
"ENSG00000004779"	1.13380051321308	-0.22672191549549	0.25993464613413	0.235930114617816	-0.0720983624567943
"ENSG00000005022"	1.24567613993455	0.953388144734117	-0.412740739638956	-0.394736218126729	-0.435998147366115
"ENSG00000005100"	1.58076241314639	0.0129179819252431	0.268829430957877	-0.0493435268923835	-0.0581824979075194
"ENSG00000005339"	1.33061370679427	-0.654477409643699	0.445935247346437	-0.0971789484232294	0.295423075108964
"ENSG00000005483"	1.17150072305194	0.358336689374981	0.351732212046441	0.315893712349389	0.0570467479526336
"ENSG00000005700"	2.01900441591453	-0.427825493816797	-0.405147422346355	-0.105029050896613	-0.32030051986877
"ENSG00000005801"	1.26440876703017	0.418808153126179	0.364298457465558	-0.106809220675202	-0.059935401205084
"ENSG00000005893"	2.11315820510079	-0.201164321760349	-0.24095131494667	-0.0870788852115691	0.0249403919048587
"ENSG00000006530"	1.1711428007988	0.517690972038822	-0.0362854464611191	-0.270498319734861	-0.269089940347511
"ENSG00000006607"	1.30175885025262	-0.996597974537526	0.267124252174305	0.3381850495407	0.109677020500569
"ENSG00000006625"	1.49240739390887	0.259968663225609	0.111828406923917	-0.167609015088211	0.104015490924637
"ENSG00000006652"	1.34136131173888	0.216199771097732	0.0529866091878642	0.419824428337647	0.129028233262721
"ENSG00000007168"	1.76944331436414	0.0743652331685639	-0.207101541808271	-0.129617128985028	0.429617996114117
"ENSG00000008018"	1.39056190777679	0.902795504430518	0.125761649705937	-0.193455481378099	-0.13275290598856
"ENSG00000008294"	1.07294385312007	-0.082904957507115	0.133250568107211	0.269013741157869	-0.0816911496599624
"ENSG00000008394"	0.32420430627225	2.21597087138888	-1.36923080921107	0.123362156855725	0.0376404706653433
"ENSG00000008952"	0.634900489496361	1.29100323782045	0.205815027992268	-0.0270300789934148	0.422719558917891
"ENSG00000008988"	0.7488498509512	0.944983608982663	-0.356726556450949	-0.0870429781546139	-0.362757678193907
"ENSG00000009307"	1.71351728690468	-0.422523675203881	0.337156157379457	-0.737009463747431	-0.36896023661247
"ENSG00000009335"	2.01126562204547	-1.35305276606057	0.425266094860487	-0.062337121046171	-0.0688483554888628
"ENSG00000009413"	1.25519471313314	0.0414006341807902	0.593365948800255	0.276023045790511	-0.0922304170779161
"ENSG00000009954"	1.43506494034452	-0.351590186084621	0.125296017785579	0.472398460528313	-0.200040551096944
"ENSG00000010244"	1.31550616120619	0.715854211342071	0.400735946776633	0.274519196131845	0.641537516903879
"ENSG00000011275"	1.61207376337481	-0.298789179857163	0.181795406472308	-0.116688184694878	-0.145643980260426
"ENSG00000011295"	1.49646355575644	-0.159260566419778	0.0574177980505684	0.359206829037011	0.208218839343978
"ENSG00000011405"	1.31354072559691	-0.818645089003956	0.0817502435694949	0.286996951684717	-0.156664227502746
"ENSG00000011454"	1.68743948818683	-0.0447427199211876	0.140976016948494	0.397334611718444	0.21666203109046
"ENSG00000013275"	1.44990624025571	0.142578289414594	-0.470128405134356	0.182161905357389	-0.129359717837212
"ENSG00000013374"	0.932522676255262	0.284712728995029	0.674241976152862	0.089212495748689	-0.248301598887899
"ENSG00000013375"	1.69246743340029	0.600134960586274	0.149913868715961	-0.133148340606217	0.515341412447046
"ENSG00000013441"	1.11053043025957	0.268446756907747	0.335283235227416	0.171311110325202	0.452644132699121
"ENSG00000013561"	1.56043094335674	-0.378218627116123	0.0375000190206609	-0.0437750941243868	-0.187609814084568
"ENSG00000014641"	1.21181812382414	1.26431362470362	-0.30585401292971	-0.445551714365668	-0.122606385086118
"ENSG00000015479"	1.11803713789468	0.89492914661123	0.150705443811118	-0.105355182807693	-0.281585924808958
"ENSG00000015568"	-0.866079063760525	3.14759748236253	1.08489631567518	0.282729682271379	-0.00715560551133717
"ENSG00000018408"	1.3955217339789	0.420867383792946	-0.466543865957677	0.0737631963258239	-0.00711659128691411
"ENSG00000018510"	2.24797624164424	-0.557856434476834	-0.342740292539454	-0.105096549678973	0.111936611047792
"ENSG00000020426"	0.676486597830589	0.995554464889357	0.279503311034541	-0.101221433665373	-0.272460859096846
"ENSG00000022840"	0.902872377937497	-0.391067923308234	0.645949122871056	-0.513180746384273	-0.117875838472583
"ENSG00000023228"	2.02464938831638	-0.0303083035807551	-0.259795719396938	-0.595981731831838	-0.0351019905958274
"ENSG00000023287"	1.41039506430572	0.35664756073945	0.0951571646816184	0.00176348193589872	-0.0445948954774472
"ENSG00000023734"	1.36562033729746	-0.249148604674932	0.212567938705753	-0.209199524792655	0.0918744917760386
"ENSG00000023909"	1.43406633930934	-0.0214785975011502	-1.00544424070775	0.286105117000136	0.0883725983288862
